Old profile URL,New profile URL,Pick,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/windscreen-fitter,146,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/tattooist,147,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/dog-handler,149,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/kitchen-assistant,150,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/waiting-staff,151,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/antique-dealer,152,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/housing-officer,158,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/chemist,160,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/it-service-engineer,160,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/textile-dyeing-technician,160,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/drug-and-alcohol-worker,161,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/supervisor,162,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/actor,168,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/plumber,168,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/leather-craftworker,171,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/vehicle-body-repairer,172,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/franchise-owner,177,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/secretary,178,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/police-community-support-officer,179,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/warehouse-manager,181,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/airline-customer-service-agent,182,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/textiles-production-manager,183,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/electricity-generation-worker,184,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/cnc-machinist,185,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/leisure-centre-manager,186,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/manufacturing-systems-engineer,186,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/facilities-manager,187,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/carpet-fitter-and-floor-layer,191,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/arts-administrator,193,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/product-designer,193,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/research-scientist,193,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/biomedical-scientist,194,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/local-government-revenues-officer,194,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/body-piercer,195,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/advertising-art-director,196,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/automotive-engineer,196,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/health-records-clerk,196,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/interior-designer,197,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/civil-engineer,199,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/tourist-guide,199,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/tv-or-film-production-runner,200,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/barista,201,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/catering-manager,201,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/air-traffic-controller,202,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/primary-school-teacher,204,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/pharmacy-technician,205,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/psychologist,205,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/fishing-boat-deckhand,206,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/sports-scientist,206,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/telephonist,206,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/farmer,210,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/nutritional-therapist,210,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/textile-operative,210,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/crane-driver,212,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/manufacturing-supervisor,212,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/merchant-navy-deck-officer,214,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/sewing-machinist,214,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/roofer,216,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/residential-support-worker,218,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/veterinary-nurse,218,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/visual-merchandiser,219,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/groundsperson,220,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/kennel-worker,221,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/pattern-grader,221,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/packer,223,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/pop-musician,223,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/family-support-worker,225,,,,,
